"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.26.176","36352","41.177.202.202","53","2","319","1","87","1","232","150.417053000","0.0001","N/A","N/A"
"41.177.26.176","36359","41.177.202.202","53","2","319","1","87","1","232","150.492041000","0.0001","N/A","N/A"
"41.177.26.176","36372","41.177.202.202","53","2","392","1","99","1","293","150.779523000","0.0001","N/A","N/A"
"41.177.26.176","36419","41.177.202.202","53","2","390","1","98","1","292","151.505492000","0.0001","N/A","N/A"
"41.177.26.176","36420","41.177.202.202","53","2","390","1","98","1","292","151.506358000","0.0001","N/A","N/A"
"41.177.26.176","36428","41.177.202.202","53","2","392","1","99","1","293","152.059911000","0.0001","N/A","N/A"
"41.177.26.176","36432","41.177.202.202","53","2","390","1","98","1","292","152.135601000","0.0001","N/A","N/A"
"41.177.26.176","36445","41.177.202.202","53","2","367","1","89","1","278","152.529639000","0.0001","N/A","N/A"
"41.177.26.176","36530","41.177.202.202","53","2","392","1","99","1","293","154.584893000","0.0001","N/A","N/A"
"41.177.26.176","36590","41.177.202.202","53","2","319","1","87","1","232","155.425061000","0.0001","N/A","N/A"
"41.177.26.176","36605","41.177.202.202","53","2","390","1","98","1","292","155.959729000","0.0001","N/A","N/A"
"41.177.26.176","36651","41.177.202.202","53","2","392","1","99","1","293","157.093072000","0.0001","N/A","N/A"
"41.177.26.176","36658","41.177.202.202","53","2","404","1","89","1","315","157.407394000","0.0001","N/A","N/A"
"41.177.26.176","36675","41.177.202.202","53","2","346","1","90","1","256","157.934586000","0.0001","N/A","N/A"
"41.177.26.176","36677","41.177.202.202","53","2","319","1","87","1","232","157.936039000","0.0001","N/A","N/A"
"41.177.26.176","36718","41.177.202.202","53","2","319","1","87","1","232","159.427064000","0.0001","N/A","N/A"
"41.177.26.176","36783","41.177.202.202","53","2","392","1","99","1","293","161.840840000","0.0001","N/A","N/A"
"41.177.26.176","36846","41.177.202.202","53","2","392","1","99","1","293","164.095603000","0.0001","N/A","N/A"
"41.177.26.176","36862","41.177.202.202","53","2","346","1","90","1","256","164.542462000","0.0001","N/A","N/A"
"41.177.26.176","36910","41.177.202.202","53","2","346","1","90","1","256","165.508714000","0.0001","N/A","N/A"
"41.177.26.176","36992","41.177.202.202","53","2","392","1","99","1","293","168.001936000","0.0001","N/A","N/A"
"41.177.98.57","37041","41.177.202.202","53","2","319","1","87","1","232","169.880888000","0.0001","N/A","N/A"
"41.177.98.57","37043","41.177.202.202","53","2","319","1","87","1","232","169.900082000","0.0001","N/A","N/A"
"41.177.26.214","54888","41.177.202.202","53","2","348","1","90","1","258","172.568994000","0.0001","N/A","N/A"
"41.177.26.176","37236","41.177.202.202","53","2","319","1","87","1","232","174.570132000","0.0001","N/A","N/A"
"41.177.26.176","37280","41.177.202.202","53","2","390","1","98","1","292","175.418932000","0.0001","N/A","N/A"
"41.177.26.214","54893","41.177.202.202","53","2","348","1","90","1","258","175.649566000","0.0001","N/A","N/A"
"41.177.26.176","37287","41.177.202.202","53","2","390","1","98","1","292","175.860435000","0.0001","N/A","N/A"
"41.177.26.176","37323","41.177.202.202","53","2","392","1","99","1","293","176.324266000","0.0001","N/A","N/A"
"41.177.26.176","37369","41.177.202.202","53","2","392","1","99","1","293","177.275630000","0.0001","N/A","N/A"
"41.177.26.176","37375","41.177.202.202","53","2","376","1","91","1","285","177.406599000","0.0001","N/A","N/A"
"41.177.98.57","37440","41.177.202.202","53","2","392","1","99","1","293","178.774519000","0.0001","N/A","N/A"
"41.177.98.57","37467","41.177.202.202","53","2","346","1","90","1","256","179.375570000","0.0001","N/A","N/A"
"41.177.98.57","37603","41.177.202.202","53","2","390","1","98","1","292","181.722741000","0.0001","N/A","N/A"
"41.177.98.57","37836","41.177.202.202","53","2","392","1","99","1","293","186.096086000","0.0001","N/A","N/A"
"41.177.98.57","37903","41.177.202.202","53","2","351","1","96","1","255","187.140717000","0.0001","N/A","N/A"
"41.177.98.57","37930","41.177.202.202","53","2","319","1","87","1","232","187.879163000","0.0001","N/A","N/A"
"41.177.98.57","37939","41.177.202.202","53","2","319","1","87","1","232","188.452482000","0.0001","N/A","N/A"
"41.177.98.57","37998","41.177.202.202","53","2","390","1","98","1","292","191.033198000","0.0001","N/A","N/A"
"41.177.98.57","38166","41.177.202.202","53","2","390","1","98","1","292","195.305999000","0.0001","N/A","N/A"
"41.177.98.57","38182","41.177.202.202","53","2","390","1","98","1","292","196.039803000","0.0001","N/A","N/A"
"41.177.98.57","38210","41.177.202.202","53","2","346","1","90","1","256","196.726911000","0.0001","N/A","N/A"
"41.177.98.57","38214","41.177.202.202","53","2","390","1","98","1","292","196.755361000","0.0001","N/A","N/A"
"41.177.98.57","38282","41.177.202.202","53","2","346","1","90","1","256","198.141388000","0.0001","N/A","N/A"
"41.177.98.57","38294","41.177.202.202","53","2","346","1","90","1","256","198.175891000","0.0001","N/A","N/A"
"41.177.98.57","38385","41.177.202.202","53","2","390","1","98","1","292","200.310402000","0.0001","N/A","N/A"
"41.177.98.57","38403","41.177.202.202","53","2","390","1","98","1","292","200.861457000","0.0001","N/A","N/A"
"41.177.98.57","38404","41.177.202.202","53","2","390","1","98","1","292","200.862400000","0.0001","N/A","N/A"
"41.177.26.214","54986","41.177.202.202","53","2","348","1","90","1","258","201.279541000","0.0001","N/A","N/A"
"41.177.98.98","45153","41.177.202.202","53","2","321","1","91","1","230","202.428016000","0.0001","N/A","N/A"
"41.177.98.57","38464","41.177.202.202","53","2","392","1","99","1","293","202.653128000","0.0001","N/A","N/A"
"41.177.98.57","38521","41.177.202.202","53","2","346","1","90","1","256","203.386185000","0.0001","N/A","N/A"
"41.177.98.57","38533","41.177.202.202","53","2","319","1","87","1","232","203.417167000","0.0001","N/A","N/A"
"41.177.98.57","38574","41.177.202.202","53","2","390","1","98","1","292","204.287746000","0.0001","N/A","N/A"
"41.177.98.57","38589","41.177.202.202","53","2","390","1","98","1","292","204.698146000","0.0001","N/A","N/A"
"41.177.98.57","38661","41.177.202.202","53","2","390","1","98","1","292","206.107390000","0.0001","N/A","N/A"
"41.177.98.57","38687","41.177.202.202","53","2","319","1","87","1","232","206.369662000","0.0001","N/A","N/A"
"41.177.98.57","38695","41.177.202.202","53","2","346","1","90","1","256","206.411786000","0.0001","N/A","N/A"
"41.177.98.57","38762","41.177.202.202","53","2","319","1","87","1","232","208.062593000","0.0001","N/A","N/A"
"41.177.98.57","38829","41.177.202.202","53","2","390","1","98","1","292","208.932553000","0.0001","N/A","N/A"
"41.177.98.57","38887","41.177.202.202","53","2","319","1","87","1","232","210.084105000","0.0001","N/A","N/A"
"41.177.98.57","38916","41.177.202.202","53","2","371","1","88","1","283","210.370106000","0.0001","N/A","N/A"
"41.177.98.57","38951","41.177.202.202","53","2","404","1","89","1","315","211.168699000","0.0001","N/A","N/A"
"41.177.98.57","39015","41.177.202.202","53","2","392","1","99","1","293","212.235625000","0.0001","N/A","N/A"
"41.177.98.57","39016","41.177.202.202","53","2","392","1","99","1","293","212.236491000","0.0001","N/A","N/A"
"41.177.98.57","39066","41.177.202.202","53","2","390","1","98","1","292","213.228091000","0.0001","N/A","N/A"
"41.177.98.57","39121","41.177.202.202","53","2","392","1","99","1","293","214.432139000","0.0001","N/A","N/A"
"41.177.98.57","39127","41.177.202.202","53","2","346","1","90","1","256","214.517474000","0.0001","N/A","N/A"
"41.177.98.57","39135","41.177.202.202","53","2","390","1","98","1","292","214.863709000","0.0001","N/A","N/A"
"41.177.98.57","39137","41.177.202.202","53","2","407","1","90","1","317","214.986930000","0.0001","N/A","N/A"
"41.177.98.57","39226","41.177.202.202","53","2","390","1","98","1","292","217.337815000","0.0001","N/A","N/A"
"41.177.98.57","39234","41.177.202.202","53","2","390","1","98","1","292","217.721627000","0.0001","N/A","N/A"
"41.177.98.57","39238","41.177.202.202","53","2","390","1","98","1","292","218.062209000","0.0001","N/A","N/A"
"41.177.98.57","39250","41.177.202.202","53","2","390","1","98","1","292","218.409729000","0.0001","N/A","N/A"
"41.177.98.57","39251","41.177.202.202","53","2","390","1","98","1","292","218.410694000","0.0001","N/A","N/A"
"41.177.98.57","39290","41.177.202.202","53","2","353","1","97","1","256","219.173091000","0.0001","N/A","N/A"
"41.177.98.57","39318","41.177.202.202","53","2","351","1","96","1","255","220.465616000","0.0001","N/A","N/A"
"41.177.98.57","39398","41.177.202.202","53","2","261","1","104","1","157","222.232698000","0.0001","N/A","N/A"
"41.177.98.57","39429","41.177.202.202","53","2","392","1","99","1","293","223.339631000","0.0001","N/A","N/A"
"41.177.98.57","39470","41.177.202.202","53","2","346","1","90","1","256","225.969054000","0.0001","N/A","N/A"
"41.177.98.57","39497","41.177.202.202","53","2","392","1","99","1","293","227.591991000","0.0001","N/A","N/A"
"41.177.98.57","39599","41.177.202.202","53","2","392","1","99","1","293","230.458244000","0.0001","N/A","N/A"
"41.177.26.214","55197","41.177.202.202","53","2","323","1","89","1","234","231.715363000","0.0001","N/A","N/A"
"41.177.98.57","39640","41.177.202.202","53","2","407","1","90","1","317","232.669563000","0.0001","N/A","N/A"
"41.177.98.57","39653","41.177.202.202","53","2","392","1","99","1","293","232.768386000","0.0001","N/A","N/A"
"41.177.98.57","39698","41.177.202.202","53","2","353","1","97","1","256","233.787282000","0.0001","N/A","N/A"
"41.177.98.57","39713","41.177.202.202","53","2","390","1","98","1","292","233.908072000","0.0001","N/A","N/A"
"41.177.98.57","39720","41.177.202.202","53","2","390","1","98","1","292","234.124332000","0.0001","N/A","N/A"
"41.177.98.57","39724","41.177.202.202","53","2","319","1","87","1","232","234.182151000","0.0001","N/A","N/A"
"41.177.26.176","35960","41.177.202.202","53","2","390","1","98","1","292","140.937359000","0.0001","N/A","N/A"
"41.177.26.176","36006","41.177.202.202","53","2","319","1","87","1","232","141.794358000","0.0001","N/A","N/A"
"41.177.26.176","36278","41.177.202.202","53","2","392","1","99","1","293","149.309780000","0.0001","N/A","N/A"
"41.177.26.176","36438","41.177.202.202","53","2","392","1","99","1","293","152.288527000","0.0001","N/A","N/A"
"41.177.26.176","36479","41.177.202.202","53","2","390","1","98","1","292","153.147249000","0.0001","N/A","N/A"
"41.177.26.176","36572","41.177.202.202","53","2","392","1","99","1","293","155.258954000","0.0001","N/A","N/A"
"41.177.26.176","36676","41.177.202.202","53","2","319","1","87","1","232","157.935164000","0.0001","N/A","N/A"
"41.177.26.176","36880","41.177.202.202","53","2","346","1","90","1","256","165.068707000","0.0001","N/A","N/A"
"41.177.26.176","36954","41.177.202.202","53","2","392","1","99","1","293","166.566378000","0.0001","N/A","N/A"
"41.177.98.57","37037","41.177.202.202","53","2","390","1","98","1","292","169.801810000","0.0001","N/A","N/A"
"41.177.98.57","37136","41.177.202.202","53","2","392","1","99","1","293","172.796914000","0.0001","N/A","N/A"
