"Address A","Address B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"Netapp_0d:d3:8c","Broadcast","2","128","2","128","0","0","66.747757000","0.0002","5224489.80","N/A"
"Oracle_43:69:4b","Broadcast","2","128","2","128","0","0","73.468700000","0.0002","5278350.52","N/A"
"Dell_e5:ef:7a","Broadcast","2","128","2","128","0","0","172.953505000","0.0002","5361256.54","N/A"
"Vmware_a0:40:e9","Broadcast","2","128","2","128","0","0","90.715042000","0.0002","5417989.42","N/A"
"Ibm_a8:93:8f","Broadcast","4","2200","4","2200","0","0","168.404429000","0.0002","93617021.27","N/A"
"Vmware_9b:38:3d","Broadcast","2","128","2","128","0","0","220.602078000","0.0002","5475935.83","N/A"
"Dell_4e:eb:33","Broadcast","4","256","4","256","0","0","93.839490000","0.0002","11010752.69","N/A"
"Netapp_0d:d2:3c","Broadcast","2","128","2","128","0","0","66.747990000","0.0002","5565217.39","N/A"
"Apple_e7:0a:be","Broadcast","4","1014","4","1014","0","0","105.631205000","0.0002","44817679.56","N/A"
"Vmware_a0:22:82","IPv4mcast_01:02:07","3","444","3","444","0","0","23.601523000","0.0002","20297142.86","N/A"
"Vmware_a0:01:8c","Broadcast","2","128","2","128","0","0","164.220694000","0.0002","5988304.09","N/A"
"Dell_f6:ba:a1","Broadcast","2","494","2","494","0","0","101.151292000","0.0002","23247058.82","N/A"
"Dell_d5:21:17","Broadcast","3","330","3","330","0","0","214.121228000","0.0002","15714285.71","N/A"
"Dell_33:97:6a","Broadcast","2","494","2","494","0","0","71.030115000","0.0002","23664670.66","N/A"
"Oracle_aa:84:13","Broadcast","3","192","3","192","0","0","15.335996000","0.0002","9253012.05","N/A"
"Vmware_9b:36:ba","Broadcast","3","192","3","192","0","0","25.770562000","0.0002","9423312.88","N/A"
"Dell_4d:f9:c3","Broadcast","2","192","2","192","0","0","221.847581000","0.0002","9600000.00","N/A"
"Dell_f8:dd:78","Broadcast","2","494","2","494","0","0","35.382257000","0.0002","24700000.00","N/A"
"Dell_fe:6a:48","Broadcast","2","494","2","494","0","0","149.668190000","0.0002","24700000.00","N/A"
"Dell_54:1c:65","Broadcast","2","494","2","494","0","0","93.058491000","0.0002","25171974.52","N/A"
"Intel_ac:03:73","IPv4mcast_02","2","128","2","128","0","0","5.743934000","0.0002","6606451.61","N/A"
"Dell_4c:79:a0","Broadcast","2","494","2","494","0","0","39.787162000","0.0002","25496774.19","N/A"
"Dell_f8:cf:8b","Broadcast","3","192","3","192","0","0","17.690436000","0.0001","10378378.38","N/A"
"Vmware_9b:25:c7","IPv4mcast_65:84:9b","3","441","3","441","0","0","18.719331000","0.0001","23837837.84","N/A"
"Vmware_a0:59:8d","IPv4mcast_01:02:07","4","592","4","592","0","0","16.504686000","0.0001","33828571.43","N/A"
"Vmware_9b:42:d0","IPv4mcast_2d:7a:c3","4","576","4","576","0","0","16.424255000","0.0001","33151079.14","N/A"
"Vmware_a0:11:be","IPv4mcast_01:02:03","3","516","3","516","0","0","28.223363000","0.0001","32503937.01","N/A"
"Oracle_16:91:6e","Broadcast","3","192","3","192","0","0","58.695543000","0.0001","13592920.35","N/A"
"Dell_f8:cf:ff","Broadcast","3","192","3","192","0","0","226.228911000","0.0001","13714285.71","N/A"
"Dell_e2:d8:d0","Broadcast","3","192","3","192","0","0","98.239995000","0.0001","14912621.36","N/A"
