"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"77.139.113.224","2347","41.177.241.46","443","48","3885","24","2047","24","1838","9.428022000","217.3861","75.33","67.64"
"244.3.153.30","1770","244.3.176.224","445","46452","34019200","18173","1392547","28279","32626653","0.001961000","216.6563","51419.58","1204733.95"
"244.3.41.84","2643","244.3.31.67","1592","191","65228","102","35812","89","29416","16.707697000","215.5142","1329.36","1091.94"
"41.177.244.177","49192","244.3.210.90","548","72","5644","36","2872","36","2772","5.620335000","215.1431","106.79","103.08"
"41.177.98.220","7010","244.3.79.181","1234","178","64826","82","54642","96","10184","10.803434000","215.0853","2032.38","378.79"
"41.177.66.219","3259","41.177.98.176","80","6","5430","0","0","6","5430","6.333923000","214.5423","N/A","202.48"
"41.177.98.220","7010","244.3.79.176","1531","280","113663","120","84601","160","29062","4.668582000","214.5282","3154.87","1083.75"
"41.106.180.77","49572","41.177.241.46","443","48","3720","24","1968","24","1752","4.367445000","214.2044","73.50","65.43"
"244.3.41.84","2626","244.3.31.67","1592","550","230228","294","136128","256","94100","4.536014000","213.9353","5090.44","3518.82"
"151.77.15.40","2382","41.177.241.46","443","46","3565","23","1877","23","1688","6.630262000","213.8913","70.20","63.13"
"41.177.93.251","1619","244.3.41.84","23","75","38086","38","5004","37","33082","13.874328000","213.8882","187.16","1237.36"
"41.106.180.77","25958","41.177.241.46","443","43","3415","22","1882","21","1533","4.476612000","213.1430","70.64","57.54"
"151.77.15.128","1123","41.177.241.46","443","51","4338","25","2245","26","2093","17.549151000","213.0000","84.32","78.61"
"244.3.153.77","1386","244.3.176.224","445","30","3402","19","1977","11","1425","12.964020000","212.9604","74.27","53.53"
"244.3.153.89","2282","244.3.176.224","445","24","2288","16","1400","8","888","20.525331000","212.9595","52.59","33.36"
"244.3.153.156","2788","41.177.202.0","445","30","3194","19","1823","11","1371","9.920399000","212.9264","68.49","51.51"
"151.77.15.152","49420","41.177.241.46","443","46","3565","23","1877","23","1688","4.722112000","212.7775","70.57","63.47"
