src,dest,connectionCount
41.177.13.66,244.3.41.84,1
244.3.90.4,244.3.41.84,1
41.177.93.111,244.3.41.84,1
41.177.153.153,244.3.41.84,1
244.3.218.55,244.3.41.84,1
244.3.41.67,244.3.41.84,1
41.177.13.205,244.3.41.84,1
41.177.160.57,244.3.41.84,1
41.177.43.188,244.3.41.84,1
41.177.37.95,244.3.41.84,1
244.3.34.61,244.3.41.84,1
41.177.67.85,244.3.41.84,1
244.3.188.241,244.3.41.84,1
41.177.13.246,244.3.41.84,1
244.3.90.194,244.3.41.84,1
41.177.142.37,244.3.41.84,1
41.177.142.111,244.3.41.84,1
41.177.161.13,244.3.41.84,1
244.3.47.210,244.3.41.84,1
41.177.222.224,244.3.41.84,1
244.3.41.84,94.145.155.118,1
244.3.41.84,194.66.143.56,1
244.3.41.84,184.4.145.199,1
244.3.41.84,94.145.155.254,1
244.3.41.84,194.66.164.108,1
244.3.41.84,186.181.192.154,1
244.3.41.84,203.22.116.204,1
244.3.41.84,224.143.111.145,1
244.3.41.84,194.66.220.4,1
244.3.41.84,47.3.161.224,1
244.3.41.84,184.75.224.75,1
244.3.41.84,184.75.224.164,1
41.177.82.121,244.3.41.84,1
241.151.91.231,41.177.98.127,2
254.51.75.100,244.3.210.197,3
41.177.244.224,244.3.210.254,1
244.3.153.33,41.177.24.241,1
85.41.34.188,244.3.210.197,7
186.136.103.68,244.3.160.239,28
68.157.168.41,41.177.26.176,5
244.3.210.254,244.3.106.254,1
168.117.3.145,244.3.160.239,34
244.3.34.55,244.3.31.40,1
244.3.160.239,122.248.218.117,29
41.177.26.176,168.82.82.108,1
254.204.205.13,41.177.98.176,1
253.37.253.43,253.160.251.90,21
41.177.180.176,244.3.31.84,2
244.3.153.48,41.177.3.18,1
244.3.41.185,244.3.41.47,1
244.3.41.185,244.3.41.120,1
82.181.188.253,41.177.98.143,1
41.177.93.17,244.3.41.84,1
41.202.64.43,41.177.26.176,5
142.122.248.71,244.3.210.197,1
68.157.168.43,41.177.26.176,7
150.160.203.244,244.3.61.39,1
194.66.204.94,244.3.41.84,1
197.48.26.167,41.177.98.124,1
244.3.142.138,41.177.98.220,1
253.37.253.43,253.84.160.167,1
55.161.39.39,41.177.26.176,2
254.71.77.18,244.3.210.197,1
41.194.123.57,41.177.98.143,1
151.77.185.176,244.3.160.239,15
100.176.176.204,41.177.26.91,1
67.122.211.41,244.3.41.185,1
41.177.211.160,41.177.98.176,2
41.177.181.81,41.177.98.176,4
244.3.210.254,41.177.244.188,1
213.197.255.209,41.177.98.127,4
77.197.210.224,41.177.26.91,4
194.66.204.41,244.3.41.84,1
244.3.77.218,244.3.210.254,1
77.197.210.217,244.3.210.197,3
67.122.211.41,244.3.41.224,1
67.122.211.41,244.3.41.41,1
77.197.128.180,41.177.26.176,52
77.197.210.82,244.3.210.197,2
149.214.203.116,41.177.26.176,1
41.177.26.91,214.111.3.85,1
68.159.161.215,244.3.210.197,2
67.122.211.41,244.3.41.246,1
67.122.211.41,244.3.41.244,1
77.197.210.249,41.177.26.176,16
77.197.210.80,41.177.26.176,22
77.197.210.213,41.177.26.15,1
244.3.210.197,117.98.154.128,4
244.3.210.197,203.164.144.197,2
77.197.128.241,41.177.26.91,2
67.81.116.154,244.3.31.46,1
77.197.210.217,41.177.26.15,2
41.177.24.241,244.3.153.248,1
77.197.210.176,41.177.26.15,2
77.197.210.128,41.177.26.91,2
77.197.210.153,41.177.26.15,1
77.197.210.110,41.177.26.15,2
77.197.210.2,41.177.26.15,2
77.197.210.217,41.177.26.91,1
68.157.168.156,41.177.26.176,5
253.37.253.254,253.37.253.251,1
77.197.210.153,41.177.26.91,1
85.26.113.153,41.177.98.127,1
151.77.108.215,41.177.98.176,6
77.197.128.41,41.177.26.46,1
215.203.31.218,244.3.210.197,14
41.203.225.103,244.3.210.197,2
66.95.68.201,41.177.26.176,1
244.3.41.117,41.177.3.224,13
244.3.160.239,254.204.210.149,3
77.197.128.211,41.177.26.91,6
41.177.98.176,41.177.164.128,1
194.66.204.209,244.3.41.84,1
77.197.210.239,41.177.26.91,5
244.3.31.181,41.177.98.220,2
244.3.31.26,41.177.98.98,4
244.3.153.30,41.177.24.241,2
244.3.153.30,41.177.230.83,2
244.3.31.241,41.177.98.220,1
244.3.160.239,197.154.128.43,5
145.95.139.141,41.177.98.176,6
244.3.210.255,242.194.160.18,1
244.3.160.80,244.3.153.30,2
41.177.241.46,41.106.180.204,1
145.51.132.23,41.177.98.176,1
18.132.77.186,244.3.160.239,81
46.144.210.156,41.177.26.15,1
244.3.31.224,41.177.98.98,1
244.3.164.145,41.177.98.176,7
41.177.98.220,244.3.31.194,1
244.3.34.157,244.3.41.84,1
244.3.153.33,244.3.31.64,1
41.18.225.254,244.3.210.197,29
165.188.210.111,41.177.98.127,1
197.48.26.167,41.177.98.141,2
165.0.138.176,41.177.26.91,1
244.3.153.40,41.177.24.247,1
46.214.75.153,244.3.210.197,1
91.108.108.122,244.3.61.118,1
68.157.168.98,41.177.26.176,4
244.3.153.209,41.177.24.241,3
223.72.203.218,41.177.26.151,4
77.197.67.186,244.3.210.197,2
244.3.77.177,244.3.31.168,6
203.117.47.177,41.177.98.176,1
90.218.241.186,244.3.210.197,11
244.3.153.177,244.3.160.80,3
77.13.122.26,41.177.98.127,1
224.41.61.218,41.177.98.143,1
18.197.161.77,244.3.61.177,1
244.3.153.235,41.177.24.108,1
90.38.138.177,41.177.98.176,1
151.239.66.180,41.177.26.176,5
26.244.48.209,41.177.26.91,2
68.157.168.39,41.177.26.176,5
244.3.153.239,41.177.24.241,7
67.122.211.41,244.3.61.215,1
41.177.230.224,41.177.26.91,1
67.122.211.41,244.3.61.118,1
67.122.211.41,244.3.61.40,1
67.122.211.41,244.3.61.124,1
67.122.211.41,244.3.61.244,1
41.177.230.224,41.177.26.46,5
67.122.211.41,244.3.61.68,1
67.122.211.41,244.3.61.151,1
67.122.211.41,244.3.61.22,1
67.122.211.41,244.3.61.177,1
41.177.83.247,244.3.160.239,4
67.122.211.41,244.3.61.92,1
244.3.160.239,41.177.230.67,3
67.122.211.41,244.3.61.225,1
67.122.211.41,244.3.61.39,1
67.122.211.41,244.3.61.209,1
67.122.211.41,244.3.61.41,1
244.3.160.239,41.177.26.15,1
41.177.199.139,244.3.160.239,155
68.157.168.110,41.177.26.176,4
177.202.167.210,41.177.98.84,1
77.197.127.136,41.177.26.176,1
244.3.79.201,41.177.98.220,1
