"No.","Time","Source","Destination","Protocol","Source Port","Destination Port","Length","Time delta from previous captured frame","Sequence number","Time since reference or first frame","Syn","Acknowledgment","Stream index","Info"
"294136","70.388393","244.3.160.204","244.3.160.239","TCP","34829","443","64","0.000065000","2","70.388393000","Not set","Set","3514","34829  >  443 [ACK] Seq=2 Ack=2 Win=8760 Len=0"
"299300","72.206358","244.3.160.204","244.3.160.239","TCP","35160","443","64","0.000150000","0","72.206358000","Set","Not set","3564","35160  >  443 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"299301","72.206453","244.3.160.239","244.3.160.204","TCP","443","35160","64","0.000095000","0","72.206453000","Set","Set","3564","443  >  35160 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"299302","72.206650","244.3.160.204","244.3.160.239","TCP","35161","8080","64","0.000197000","0","72.206650000","Set","Not set","3565","35161  >  8080 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"299303","72.206720","244.3.160.239","244.3.160.204","TCP","8080","35161","64","0.000070000","1","72.206720000","Not set","Set","3565","8080  >  35161 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"299304","72.206938","244.3.160.204","244.3.160.239","TCP","35162","80","64","0.000218000","0","72.206938000","Set","Not set","3566","35162  >  80 [SYN] Seq=0 Win=8760 Len=0 MSS=1460"
"299305","72.207032","244.3.160.239","244.3.160.204","TCP","80","35162","64","0.000094000","0","72.207032000","Set","Set","3566","80  >  35162 [SYN, ACK] Seq=0 Ack=1 Win=24820 Len=0 MSS=1460"
"299710","72.308307","244.3.160.204","244.3.160.239","TCP","35160","443","64","0.001290000","1","72.308307000","Not set","Set","3564","35160  >  443 [ACK] Seq=1 Ack=1 Win=8760 Len=0"
"299711","72.308448","244.3.160.204","244.3.160.239","TCP","35160","443","64","0.000141000","1","72.308448000","Not set","Set","3564","35160  >  443 [FIN, ACK] Seq=1 Ack=1 Win=8760 Len=0"
"299713","72.308548","244.3.160.239","244.3.160.204","TCP","443","35160","64","0.000048000","1","72.308548000","Not set","Set","3564","443  >  35160 [ACK] Seq=1 Ack=2 Win=24820 Len=0"
