frame.number,tcp.analysis.ack_rtt
327421,0.073347000
327981,
327986,0.000464000
327994,
328307,0.061911000
328619,
328621,0.000454000
328693,
329127,0.065191000
330097,
330107,0.000441000
330164,
330591,0.071368000
331544,
331554,0.000461000
332365,
332401,0.014592000
332600,0.049749000
332734,
332735,0.000424000
333436,
333531,0.009184000
334206,0.102713000
334328,
334329,0.000432000
334336,
335288,0.106866000
335786,
335788,0.000432000
335924,
336372,0.112600000
337591,0.184238000
338116,
338121,0.001595000
338156,
338253,0.048298000
338262,
338588,0.202987000
338791,
339080,0.196538000
339387,
339464,0.016376000
339610,0.063981000
339655,
339657,0.000424000
340057,
340101,0.010823000
340168,
340403,0.133112000
340407,0.000436000
340421,
340548,0.056626000
340851,
340853,0.000411000
340860,
341127,0.092758000
341314,
341318,0.000460000
341394,
341593,0.097172000
342007,
342008,0.000449000
342037,
342259,0.086413000
342633,
342634,0.000437000
343490,
343577,0.014645000
343868,0.065351000
344057,
344076,0.000381000
344621,
344677,0.009435000
345362,0.086506000
345903,
345905,0.000462000
345916,
347146,
347948,
347950,0.000431000
347994,
348193,
348285,
348321,0.112466000
348322,
348921,0.199935000
349064,
349079,0.005496000
349104,
349273,0.048557000
349348,
349891,0.191438000
354452,
354950,
354952,0.000428000
355278,
355682,
355688,0.000466000
356084,
356583,
356588,0.000447000
357174,
357702,
357711,0.000431000
358212,
358741,
358742,0.000460000
359686,
360027,
360029,0.000467000
360409,
360445,0.015021000
360731,0.096842000
361277,
361284,0.000470000
362372,
362493,
362494,0.000444000
362500,
362547,
362706,0.049096000
363038,
363631,
363632,0.000420000
363657,
363998,0.093409000
364530,
364533,0.000454000
364985,
365354,
365360,0.000470000
366036,
366918,
366922,0.000505000
367640,
368448,
368452,0.000446000
369227,
369915,
369917,0.000512000
370604,
370697,0.013153000
371528,0.130722000
371567,0.009873000
372024,0.094042000
372104,0.015378000
372531,0.096698000
373022,
373023,0.000462000
373395,
374120,
374121,0.000450000
374175,
374548,0.099245000
374876,
374877,0.000460000
375434,
375905,
375910,0.001331000
376457,
377206,0.203198000
377481,
377508,0.016417000
377899,0.079101000
377930,0.014583000
378154,0.097291000
378514,
378515,0.000477000
378826,
379180,
379181,0.000469000
379560,
379887,
379888,0.000452000
380138,
380459,
380460,0.000472000
380725,
381041,
381043,0.000433000
381059,
381177,
381181,0.003091000
381344,0.048518000
381596,
381627,0.008277000
381670,
381810,0.048798000
381888,
382200,
382202,0.000442000
382513,
382837,
382839,0.000479000
383065,
383473,
383474,0.000485000
383515,
383887,0.095418000
384268,
384270,0.000438000
384280,
384337,
384481,0.048657000
384765,
384862,0.048355000
384994,
385301,
385304,0.000433000
385341,
385611,0.099328000
385631,0.011852000
385632,
385633,
385813,0.049885000
385971,0.091728000
386198,0.072958000
386290,
386304,
386328,
386385,
386398,0.004313000
386476,0.048595000
386491,0.048911000
386774,0.115668000
387506,0.196811000
389299,
389634,
389639,0.000419000
390125,
390548,
390549,0.000439000
390839,
391345,0.192917000
391706,
392037,
392038,0.000423000
392366,
392789,
392790,0.000497000
393534,
393838,
393844,0.000482000
394410,
394640,
394644,0.000441000
394945,
395252,
395253,0.000510000
395272,
395746,0.091934000
395755,0.001847000
396541,0.155672000
396669,
396699,0.012384000
397070,0.107531000
397618,
397619,0.000432000
397981,
398448,
398454,0.000450000
398950,
399390,
399392,0.000454000
399956,
400834,0.199983000
402427,
402964,
402965,0.000468000
403815,
404886,
404892,0.000462000
405490,
406693,0.195139000
406959,
407546,
407548,0.000454000
408061,
408673,
408677,0.000458000
409418,
409840,
409842,0.000470000
410258,
410820,
410825,0.000442000
411374,
411865,
411871,0.000460000
412448,
412851,
412856,0.000419000
413263,
413596,
413600,0.000444000
414839,
415187,
415188,0.000480000
415689,
416200,
416204,0.000463000
416582,
417065,
417066,0.000470000
417719,
418454,
418456,0.000473000
419356,
420166,
420180,0.000446000
420786,
421439,
421444,0.000460000
422225,
423189,
423198,0.000457000
424006,
424604,
424611,0.000425000
425163,
425903,
425905,0.000479000
426656,
427308,
427313,0.000495000
427365,
428423,0.145664000
428482,0.010530000
428855,0.061591000
429780,
429790,0.000409000
430234,
430239,0.002375000
430898,0.133588000
430923,0.006932000
431818,0.161127000
431868,0.014603000
431902,
432244,0.048650000
432479,
433467,0.195746000
434096,
434733,
434734,0.000466000
435171,
435683,
435689,0.000467000
436297,
437367,0.193434000
437838,
438763,0.188257000
438904,
439374,
439381,0.000473000
440085,
440687,
440693,0.000488000
441276,
441750,
441751,0.000470000
442247,
442798,
442800,0.000454000
443454,
443821,
443824,0.000477000
448780,
450084,0.191103000
451491,
452691,0.194450000
454763,
455736,0.190776000
508353,
509603,0.244384000
605166,
605167,
605168,0.000419000
605172,
605208,
605446,0.049380000
605451,
605541,0.027228000
605798,0.068589000
605828,0.009458000
606336,0.102640000
606370,0.006747000
606910,0.105244000
606929,0.004663000
607035,
607304,0.048344000
607459,
607511,0.009232000
608172,0.102511000
608979,
608980,0.000473000
609305,
609735,
609736,0.000443000
610107,
610822,0.199131000
610859,
610982,
610985,0.000532000
610998,
611069,
611252,0.048549000
611590,
611718,
611758,0.009306000
611982,0.049094000
612214,
612236,0.006741000
612728,0.105275000
612740,0.004086000
613211,0.107902000
613214,0.000848000
613715,0.103224000
613718,0.000811000
614154,0.111194000
614524,
614525,0.000440000
614961,
615557,
615562,0.000451000
616101,
616108,0.001707000
616597,0.102261000
616636,0.007156000
617064,0.112888000
617107,0.012281000
617140,
617332,0.049194000
617440,
617878,
617885,0.000975000
618341,
618666,
618667,0.000434000
618848,
619102,
619107,0.000480000
619573,
619574,0.002021000
619929,0.102794000
619983,0.006545000
620302,0.112420000
620500,
620502,0.000465000
620506,
620866,0.109662000
620902,0.015415000
621145,0.120536000
621424,
621425,0.000430000
621932,
622372,
622378,0.000453000
622575,
622889,
622893,0.000464000
623358,
623382,0.010006000
623614,0.093834000
623867,
623868,0.000482000
624133,
624155,0.009978000
624377,0.086021000
624895,
624899,0.000468000
624915,
625307,0.106772000
625891,0.190092000
626397,
627004,0.160233000
628725,
629406,0.196040000
631689,
632176,
632177,0.000469000
632484,
632938,
632941,0.000470000
633366,
633401,0.008156000
634026,0.160037000
634794,0.199302000
634865,
634929,0.014754000
635399,
635414,
635498,
635566,0.048673000
635567,
635569,
635570,
635666,0.048549000
635667,
635762,0.048239000
635779,
635780,
635781,
635826,0.049049000
635828,
635829,
635935,0.049238000
635936,0.049292000
635939,
635947,
636018,0.049170000
636064,
636070,
636071,
636133,0.048290000
636138,
636182,
636232,0.014847000
636234,
636235,
636258,0.048511000
636264,
636265,
636281,
636316,0.048306000
636344,
636380,
636530,0.049591000
636569,0.050633000
636571,0.048150000
636575,
636588,
636639,0.048910000
636749,0.048258000
636900,
637610,0.239259000
638860,
639355,
639356,0.000472000
639753,
640178,
640179,0.000467000
640572,
641085,
641086,0.000450000
641287,
641549,
641553,0.000466000
642173,
642674,0.189605000
646078,
646405,
646406,0.000469000
646725,
646978,
646979,0.000485000
647582,
648359,
648360,0.000490000
648376,
648389,
648414,
648439,
648447,
648595,0.049245000
648603,
648623,
648660,0.048446000
648749,0.048478000
648851,0.072058000
648858,0.006356000
649585,0.171646000
649880,
650417,
650420,0.000485000
651002,
651365,
651368,0.000499000
651873,
653178,
653183,0.000473000
653528,
653882,
653884,0.000453000
654155,
654493,
654496,0.000468000
654930,
655324,
655325,0.000486000
655683,
656294,
656295,0.000479000
656896,
657384,
657385,0.000470000
657801,
658255,
658257,0.000419000
658800,
659233,
659237,0.000450000
659697,
660182,
660184,0.000422000
660624,
661439,0.196605000
661790,
662238,
662242,0.000459000
662637,
663062,
663065,0.000478000
663392,
663767,
663768,0.000432000
664117,
664364,
664366,0.000455000
664811,
665358,
665360,0.000464000
665746,
665800,0.008657000
665988,0.071528000
666016,0.005958000
666351,0.105981000
666364,0.003409000
666714,0.100935000
666731,0.008404000
667072,0.103221000
667084,0.006204000
667555,0.146145000
667589,0.010166000
668185,0.171535000
668473,
668762,
668764,0.000464000
669091,
669437,
669443,0.000497000
669641,
669903,
669904,0.000454000
669922,
670212,0.104255000
670225,0.005066000
670589,0.106957000
671028,
671031,0.000480000
671269,
671287,0.006164000
671586,0.105753000
671927,
671929,0.000468000
671950,
672234,0.102960000
672606,
672607,0.000499000
672894,
673344,
673346,0.000402000
673752,
674117,
674124,0.000452000
674680,
674726,0.014865000
675484,0.128773000
675642,
675645,0.000441000
676782,
677809,
677810,0.000460000
678332,
678605,
678608,0.000465000
678923,
679256,
679257,0.000433000
679529,
679873,
679874,0.000431000
680217,
680487,
680488,0.000450000
680760,
681221,
681222,0.000434000
681644,
681895,
681896,0.000464000
682208,
682532,
682535,0.000481000
682879,
683543,0.208613000
683641,
683970,
683971,0.000446000
684492,
684999,
685001,0.001044000
685936,
686814,0.187447000
687071,
687893,0.197549000
688273,
689399,0.198116000
692703,
693243,
693246,0.000429000
693769,
694060,
694063,0.000479000
694530,
694900,
694901,0.000460000
695491,
695834,
695837,0.000472000
696453,
696778,
696780,0.000472000
697163,
697470,
697471,0.000462000
697831,
698373,
698374,0.000447000
698700,
699070,
699071,0.000401000
699425,
699815,
699818,0.000425000
700116,
700735,
700737,0.000474000
701021,
701354,
701356,0.000487000
701724,
702165,
702167,0.000433000
702732,
703293,
703296,0.000445000
703662,
704066,
704068,0.000481000
704635,
705090,
705099,0.000458000
705623,
706109,
706115,0.000445000
706475,
706810,
706811,0.000435000
707147,
707456,
707457,0.000488000
707489,
707931,0.139938000
708344,
708352,0.000494000
709246,
710102,0.196421000
710312,
710594,
710596,0.000456000
710940,
711220,
711222,0.000573000
711587,
712124,
712128,0.000430000
712161,
712539,0.114979000
713298,
713299,0.000458000
713973,
716090,0.197269000
716201,
716288,0.012231000
716856,0.115447000
716948,0.009703000
717042,
717977,0.134524000
717982,0.000484000
718023,
718437,0.169901000
718747,
718749,0.000406000
719499,
720037,
720040,0.000451000
720215,
720241,0.013415000
720502,0.090701000
721069,0.190634000
721180,
721438,
721439,0.000468000
721730,
722301,0.195252000
723510,
724352,0.192267000
727261,
727305,0.010550000
727750,0.116823000
727914,
727915,0.000452000
727942,
728335,0.104829000
728427,
728428,0.000445000
728436,
728705,0.092320000
729144,
729145,0.000457000
729175,
729376,0.065888000
729820,
729821,0.000395000
729862,
730194,0.087044000
730647,0.194123000
735988,
735999,0.001909000
736337,0.110091000
736590,
736593,0.000484000
736630,
737041,0.099024000
737167,
737168,0.000445000
737205,
737483,0.086769000
737747,
737754,0.000458000
737766,
737967,0.075337000
738458,0.190274000
739717,
739730,0.003357000
739849,
740098,0.172838000
740101,0.000450000
740125,
740250,
740541,0.145345000
740543,0.000475000
740586,
740755,0.053135000
741611,0.196867000
743037,
743109,0.012241000
743412,0.083856000
743715,
743719,0.000460000
743756,
744040,0.055267000
745032,
745034,0.000454000
745054,
745622,0.076994000
745905,
745907,0.000437000
745961,
